Sample;Classification
All lube oil pipe use stainless steel , and have fire prevention measures .;1
"Inside of stainless steel for lubricating oil system shall be acid pickled, and
immersed with hot alkaline solution or cleaned through alkali vapor spraying, at the same time, bare metal
shall be provided with proper anti-corrosion measures to prevent being damaged.";0
"The silencer body is of a carbon steel structure and its
pore plate is made of SS304L";0
Lubricating oil supply pipelines made of carbon steel, section between oil filter and GTP shall be and made of stainless steel;1
"Lube oil conditioner including AC
motor driven circulating pump";0
"All piping for lube oil system, jacking oil system, control oil system, clean and dirty oil system shall be
of SS 316L.";1
Material of instrument air pipe and instrument impulse tubing shall be stainless steel.;0
Lube oil & jacking oil supply piping shall be of SS.;1
Stainless steel piping for the complete lubricating oil system;1
"Lube oil and jacking oil pipes shall be mounted with a double envelope type or housed in a
leak tight duct (with inspection and repair hatches).";0
Oil pipe use the stainless steel which is not lower than 304 grade , use argon arc welding backing welding process , as far as possible not to use the flange connection for the oil pipe, reduce oil leak point.;1
One (1) set of portable lube oil purifier comprising of centrifuges, necessary piping, strainers, filters etc. for the Plant.;0
 Lubricating oil system piping shall be stainless steel;1
"A complete system with single flange connections
for steam and condensate supply by others.";0
The pipeline in the lubricating oil system shall be made of 304 L stainless steel.;1
Lube oil supply piping shall be routed inside the drain line.;0
"304L stainless steel shall be used for the
lubricant system pipelines.";1
"Hard copy prints of the electronic files shall also
be submitted";0
All lubricating oil piping shall be of stainless steel.;1
"Water tank shall be made of stainless steel and its volume shall be clarified by the Supplier in the
tendering stage.";0
"Lube Oil System All lube oil supply piping shall be 18-8 stainless
steel. ";1
Oil piping and valves from the lube oil filters to the bearings shall be Type L stainless steel.;1
"The material of panels installed indoors shall be rolled steel (SS400) and stainless steel
for outdoors. ";0
All the pipes required to form a complete system must be stainless steel 304.;0
"Material of all pipings at the downstream of oil filter
shall be stainless steel.";1
In general, the filtration system shall include stainless steel trash screens;0
"The reinforced stainless steel coarse mesh shall be
provided in front of the air inlet of gas turbine so as to
minimize the possibility of damaging the gas turbine by
foreign objects (FOD mesh).";0
304L stainless steel shall be selected for lube oil system pipe.;1
"Water container
 made of stainless steel, of which the capacity shall be clarified by the Supplier at the bidding stage.";0
The Contractor shall put into place a Safety Team able to address all the software safety issues.;0
Generally speaking, the Contractor shall demonstrate and implement its ability to conform to all phases of the safety and RAM management process over the Project lifecycle.;0
The turbine shafts shall be of forged steel;0
"All piping for lube oil system, jacking oil system, control oil system, clean and dirty oil system shall be of SS
316L.";1
"• Interconnecting piping, made of stainless steel downstream of the filters (including venting and
drain)";1
"All piping for lube oil system, jacking oil system, control oil system, clean and dirty oil system shall be
of SS 316L.";1
"Carbon steel upstream of the lube oil filter
and 304L stainless steel downstream of lube
oil filter";1
"All piping
between filters and bearings shall be stainless steel.";1
"Oil filters shall be of the pleated paper type, 2 x 100% filters with 316 stainless steel
body,";0
All lube oil piping downstream the filters shall be 316 stainless steel material.;1
"Oil supply 304L stainless steel
Oil return Carbon steel";1
"Accessories (valves, piping, nozzles, etc.) in stainless steel. All hardware shall be
corrosion resistant
Water injection manifold piping";0
All oil pipes shall be made of stainless steel.;1
The pipes from the final filters to the gas turbine/generator connection points shall be fabricated from an approved stainless steel.;0
"4.1.8.7 LUBRICATING OIL PIPE WORK AND VALVE
Provision shall be made for the collection and detection of any leaking oil. Details of the oil leakage guard system shall be given in the Bidding Proposal.
Protection against overpressure in a line shall be provided. Relief lines from pump discharge piping shall be directed back to the oil reservoir.
The pipes from the final filters to the machine connection points shall be fabricated from an approved stainless steel.";1
"Interconnecting piping shall be made of stainless steel downstream of the filters.
- Flange guards shall be installed around pressurised oil flanges.
- The oil pipes shall be seamless and connections between oil-carrying parts shall be welded or flanged.
- The oil pipes shall run in covered oil ducts separated from cables.";1
"All pumps in the lube oil system shall be provided with stainless
steel filter/strainer at suction.";0
Bearing oil and jacking oil supply lines to be of SS.;1
Seamless stainless steel shall be provided for lube oil supply pipework downstream of the oil filter.;1
"Type: Duplex filter with stainless steel elements, of mesh size 5 micron on the common oil supply line to
the bearings as well in the individual supply/return lube oil piping as per standard proven practice of the
bidder. All pumps in the lube oil system to be provided with stainless steel strainer at suction.";1
Lube oil & jacking oil supply piping shall be of SS.;1
"The lubrication and control
oil tank and all lubrication and control oil conducting pipes and accessories shall be made
of stainless steel, the oil tank(s) is a except.";1
"Oil supply and return piping shall be Type 304 stainless steel with automatic GMAW or
GTAW root pass welds in lube oil feed and drain lines.";1
All conducting pipes and accessories shall be made of stainless steel.;0
"All lube oil piping shall be 18-8 stainless steel and guarded. The guard pipe shall also be
stainless steel and not be the pressurized oil supply pipe.";1
All hydrogen pipes shall be made out of stainless steel;0
"The piping system generally should be of carbon steel for design temperature up to 400°C and alloy steel
materials P11, P22 or P91 for design temperature from 400°C up to 550°C and P91 or stainless steel
above 550°C.";0
Stainless stell interconnecting piping, valves and accessories;1
